Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Lighting Crew - 44542 - THTR 069 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan M.  Ragusa (P),,,,,,,
Design for the Theatre - 47736 - THTR 087 - 010,Class,1:10 pm - 3:00 pm,TR,012  Wilbur Workshop 123W,"Aug 25, 2014 - Dec 05, 2014",Lecture,Melpomene   Katakalos (P),,,,,,,
Freshmen Seminar - 44697 - THTR 090 - 010,Class,10:10 am - 12:00 pm,TR,049  Zoellner Arts Center 131,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pam   Pepper (P),,,,,,,
West African Dance - 48566 - THTR 095 - 010,Class,9:20 am - 10:35 am,TR,038  Taylor Gym GYM,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Movement for Actors & Dancers - 49032 - THTR 096 - 010,Class,10:45 am - 12:00 pm,TR,049  Zoellner Arts Center 121,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Jazz II - 49574 - THTR 097 - 010,Class,10:45 am - 12:00 pm,MW,038  Taylor Gym GYM,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Sound Design - 45798 - THTR 111 - 010,Class,1:10 pm - 3:00 pm,R,049  Zoellner Arts Center 243,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kristian Derek  Ball (P),,,,,,,
The Development of Theatre and Drama I - 40591 - THTR 127 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Erica   Hoelscher (P),,,,,,,
Drafting For The Theatre - 49175 - THTR 130 - 010,Class,9:10 am - 11:00 am,TR,013  Fritz Lab 605,"Aug 25, 2014 - Dec 05, 2014",Lecture,Andrew Frances  Southard (P),,,,,,,
Advanced Stage Management - 47059 - THTR 145 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ruth Elizabeth Briese  Miller (P),,,,,,,
Acting Modern Realism - 49176 - THTR 147 - 010,Class,2:10 pm - 4:00 pm,MW,049  Zoellner Arts Center 131,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kashi K.  Johnson (P),,,,,,,
Scene Painting - 49186 - THTR 154 - 010,Class,10:10 am - 12:00 pm,TR,049  Zoellner Arts Center 130,"Aug 25, 2014 - Dec 05, 2014",Lecture,Melpomene   Katakalos (P),,,,,,,
Special Projects - 47752 - THTR 175 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
Special Projects - 41159 - THTR 175 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Augustine   Ripa (P),,,,,,,
Special Projects - 41336 - THTR 175 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Pam   Pepper (P),,,,,,,
Special Projects - 41337 - THTR 175 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Jeffrey R.  Milet (P),,,,,,,
